station_name,latitude,longitude
Howard Park Ave / Dundas St W - SMART,,
Howard St / Rose Ave,,
Howard St / Sherbourne St,,
Hubbard Blvd / Balsam Av,,
Hubbard Blvd. / Glen Manor Dr.,,
Humber Bay Shores Park / Marine Parade Dr,43.6262269,-79.4766997
Humber Bay Shores Park East,43.630944,-79.472145
Humber Bay Shores Park West,43.622438,-79.4803365
Humber College,43.7285212,-79.6063069
Humberside Grounds - SMART,,
Huron/ Harbord St,43.6670201,-79.4018152
Isabella St / Church St,43.6683551,-79.3823222
Jameson Ave / Queen St W,43.6396945,-79.4368676
Jane St / Bloor St W (Jane Subway Station),,
Jarvis St / Carlton St,43.6625452,-79.3765801
Jarvis St / Dundas St E,43.6571222,-79.3743386
Jarvis St / Isabella St,43.6691423,-79.3793983
Jarvis St / Maitland Pl,,
Jarvis St / Richmond St E,43.6526421,-79.374142
Jimmie Simpson Park (Queen St E),,
John St  / Mercer St - SMART,,
Joseph J Piccininni Community Centre,43.6753158,-79.4515427
Judson St / Royal York,,
Keele St / Annette St,43.6636671,-79.463587
Keele St / Vine Ave,,
Kendal Ave / Bernard Ave,,
Kendal Ave / Spadina Rd,43.6704053,-79.4052087
Kew Beach Ave / Kenilworth Ave,,
Kilgour Rd / Rumsey Rd,,
King / Cowan Ave - SMART,,
King St E / Church St,43.650002,-79.374494
King St E / Jarvis St,43.6501395,-79.3725329
King St E / Ontario St.,43.9110122,-78.6847133
King St E / River St,43.6569236,-79.356364
King St E / Victoria St,,
King St W / Bay St (East Side),,
King St W / Bay St (West Side),,
King St W / Brant St,,
King St W / Charlotte St (West Side),,
King St W / Crawford St,,
King St W / Douro St,43.6409481,-79.4164811
King St W / Fraser Ave,,
King St W / Joe Shuster Way,43.6395764,-79.4237259
King St W / Jordan St,,
King St W / Spadina Ave,43.6458183,-79.395113
King St W / Stafford St,,
King St W / Tecumseth St,,
King St W / York St,43.6478273,-79.3833728
Kings Mill Park,,
Kingston Rd / Beech Ave,,
Lake Shore Blvd E / Knox Ave,43.6603299,-79.3243635
Lake Shore Blvd E / Leslie St,,
Lake Shore Blvd W / Colborne Lodge Dr,,
Lake Shore Blvd W / Ellis Ave,43.6359568,-79.4650412
Lake Shore Blvd W / Louisa St,,
Lake Shore Blvd W / Ontario Dr,43.5977713,-79.5169115
Lake Shore Blvd W / The Boulevard Club,43.6366117,-79.4446502
Lake Shore Blvd W / Thirty Ninth Street,,
Lake Shore Blvd W / Twenty Fourth St,,
Lake Shore Blvd W / Windermere Ave,,
Langford Ave / Danforth Ave - SMART,,
Lansdowne Ave / Whytock Ave,,
Lansdowne Subway Station,43.6591684,-79.4435743
Lascelles Blvd / Eglinton Ave W,43.7054379,-79.4035336
Lawton Blvd / Yonge St,43.6917051,-79.3957712
Liberty St / Fraser Ave Green P,,
Lisgar Park,43.6424319,-79.4236997
Lisgar St / Dundas St SMART,,
Little Norway Park,43.6345063,-79.3983446
Livingston Rd (Highland Creek Trail),,
Livingston Rd / Guildwood Pkwy,43.7476674,-79.199105
Logan Av / Gerrard St E,43.6671584,-79.3449489
Logan Ave / Bain Ave,,
Long Branch GO Station,43.5921076,-79.5437152
Lonsdale Rd / Spadina Rd,43.6885255,-79.4129041
Lower Don River Trail and Taylor Creek Trail,,
Lower Jarvis / Queens Quay E,43.6438577,-79.3695119
Lower Sherbourne St / The Esplanade,43.6491304,-79.367165
Lower Simcoe St / Bremner Blvd,,
Lower Spadina Ave / Lake Shore Blvd,43.6385229,-79.3918819
Lumsden Ave / Eastdale Ave,,
Lundy Ave / Etienne Brule Park,43.6625213,-79.5030166
Lynn Williams St / East Liberty St - SMART,,
Macpherson Ave / Spadina Rd,,
Madison Ave / Bloor St W,,
Mallon Ave / Jones Ave -SMART,,
Marie Curtis Park,43.5850755,-79.5427596
Marilyn Bell Park Tennis Court,43.6335274,-79.4374089
Martin Goodman Trail (Marilyn Bell Park),,
Martin Goodman Trail / Ontario Dr,43.6461519,-79.3533167
Mary McCormick Rec Centre (Sheridan Ave),,
McGill St / Church St,43.6598776,-79.3822854
Merton St / Mount Pleasant Rd,43.6982903,-79.3866137
Metro Hall Plaza,,
Mill St / Parliament St,43.6502909,-79.3622834
Mill St / Tannery Rd,,
Moore Park,43.6903876,-79.3832965
Morningside Park (Highland Creek Trail),43.7890783,-79.1934176
Morse St / Eastern Ave,,
Mortimer Ave / Carlaw Ave SMART,,
Mortimer Ave / Coxwell Ave,43.6908465,-79.3267754
Nassau St / Bellevue Ave,,
Navy Wharf Ct. / Bremner Blvd.,,
Neil McLellan Park,43.6514985,-79.4771633
Nelson St / Duncan St,,
Niagara St / Richmond St W,,
Niagara St / Tecumseth St,43.6412134,-79.4044571
Noble St / Queen St W,,
Northern Dancer Blvd / Lake Shore Blvd E,43.6631474,-79.3097688
O'Connor Dr / Curity Ave - SMART,,
Oak St / Sumach St,,
Ontario Place Blvd / Lake Shore Blvd W (East),,
Ontario St / Adelaide St E -SMART,,
Orchard Park,43.6686425,-79.314246
Orde St / McCaul St,,
Oriole Pkwy / Kilbarry Rd,43.695382,-79.402154
Ossington Ave / Bloor St W,43.6620538,-79.425499
Ossington Ave / College St,43.6544446,-79.4225357
Ossington Ave / Harrison St,,
Pacific Ave / Glenlake Ave,43.6572333,-79.4650233
Palmerston Ave / Dundas St W,,
Palmerston Ave / Vermont Ave,,
Pape Ave / Gamble Ave,43.690152,-79.3500593
Pape Subway Green P,,
Parkside Dr / Bloor St W - SMART,,
Parliament St / Aberdeen Ave,,
Parliament St / Gerrard St,43.6622813,-79.3670556
Phoebe St / Spadina Ave,43.6501014,-79.3964539
Polson Pier,43.6419646,-79.3525591
Pottery Rd / Lower Don River Trail,43.6881764,-79.3621126
Pretoria Av / Broadview Av,43.6785398,-79.3584836
Primrose Ave / Davenport Rd,43.6718518,-79.4461781
Princes Gate / Nunavut Dr,,
Priscilla  Ave / Dundas St W,,
Queen St E / Alton Av,,
