station_name,latitude,longitude
Gerrard St E / River St,43.6634883,-79.3590277
Gerrard St E / Ted Reeve Dr,43.6847371770723,-79.29749248903750
Gerrard St E / Victoria Park Ave - SMART,43.68707429494650,-79.28665398903740
Glebe Rd W / Yonge St,43.7007679,-79.3974287
Glen Edyth Dr / Davenport Rd,43.67803973909150,-79.40532441362310
Glendonwynne Ave / Bloor St W,43.6517862279131,-79.47401137369670
Goodwood Park Ct / Dentonia Park,43.693066957472000,-79.29250787537790
Gould St / Mutual St,43.65867144815250,-79.37636116020300
Gould St / Yonge St (Ryerson University),43.657531526740500,-79.38137560253210
Granby St / Church St - SMART,43.6614265261999,-79.37911506020290
Guildwood GO Station (South),43.755257974421000,-79.19749837325540
Hanna Ave / Liberty St,43.6382642,-79.4195443
Harbord St / Clinton St,43.660445790723000,-79.41582037369640
Havelock St / Dufferin Park,43.65790597415180,-79.43129557369650
Hayter St / Laplante Ave,43.65920164685030,-79.38597703136750
High Park - Grenadier Cafe,43.64555040751750,-79.46598894486150
High Park - West Rd,43.6461366,-79.4691477
High Park Amphitheatre,43.6465345050189,-79.46207711602590
High Park Ave / Dundas St W,43.66563389211000,-79.47034330253180
High Park Outdoor Pool,43.6494974,-79.4653944
High Park Subway,43.6544342,-79.4655451
High Park Subway Station,43.6544342,-79.4655451
Highfield Rd / Gerrard St E,43.67178215701180,-79.32494176020250
Hillsdale Ave W / Yonge St,43.7032744,-79.3980628
Hocken Ave./Vaughan Rd.,43.68186197916810,-79.41838764499860
Housey St / Dan Leckie Way,43.63829139820120,-79.39747781602620
Howard Park Ave / Dundas St W - SMART,43.65227602664690,-79.4481169602033
Howard St / Rose Ave,43.67150467692840,-79.37237171787360
Howard St / Sherbourne St,43.671341552269600,-79.37645709577950
HTO Park (Queens Quay W),43.6379645,-79.3874561
Hubbard Blvd / Balsam Av,43.669613363461700,-79.28882654486050
Hubbard Blvd. / Glen Manor Dr.,43.66894820817410,-79.29142829881940
Humber Bay Shores Park / Marine Parade Dr,43.6262269,-79.4766997
Humber Bay Shores Park East,43.630944,-79.472145
Humber Bay Shores Park West,43.622438,-79.4803365
Humber College,43.7285212,-79.6063069
Humberside Grounds - SMART,43.65940489381810,-79.47030086020300
Huron/ Harbord St,43.6670201,-79.4018152
Isabella St / Church St,43.6683551,-79.3823222
Jameson Ave / Queen St W,43.6396945,-79.4368676
Jane St / Bloor St W (Jane Subway Station),43.64992465685230,-79.4838210300721
Jarvis St / Carlton St,43.6625452,-79.3765801
Jarvis St / Dundas St E,43.6571222,-79.3743386
Jarvis St / Isabella St,43.6691423,-79.3793983
Jarvis St / Maitland Pl,43.66533400959230,-79.37788823136730
